Object,ManualScoreMcam,ConfidenceMcam,Segmentation,WrongObject
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_003.nd2_33,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_003.nd2_34,None,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_003.nd2_36,OneEnd,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_003.nd2_37,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_003.nd2_38,OneEnd,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_003.nd2_39,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_003.nd2_40,OneEnd,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_003.nd2_4,OneEnd,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_003.nd2_41,None,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_003.nd2_42,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_003.nd2_43,None,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_003.nd2_44,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_003.nd2_45,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_003.nd2_46,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_003.nd2_47,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_003.nd2_48,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_003.nd2_49,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_003.nd2_50,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_003.nd2_5,OneEnd,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_003.nd2_51,OneEnd,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_003.nd2_6,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_003.nd2_7,OneEnd,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_003.nd2_8,None,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_003.nd2_9,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_1,OneEnd,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_10,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_11,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_12,OneEnd,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_13,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_14,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_15,OneEnd,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_17,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_18,None,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_19,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_20,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_21,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_22,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_23,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_24,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_25,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_26,OneEnd,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_27,OneEnd,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_28,OneEnd,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_29,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_3,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_30,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_31,OneEnd,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_32,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_33,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_34,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_35,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_36,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_37,None,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_38,OneEnd,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_39,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_4,BothEnds,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_40,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_41,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_44,None,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_45,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_47,OneEnd,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_48,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_49,None,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_5,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_50,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_51,OneEnd,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_52,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_53,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_54,OneEnd,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_55,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_56,BothEnds,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_57,OneEnd,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_58,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_59,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_60,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_61,OneEnd,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_7,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_004.nd2_9,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_1,OneEnd,2,NA,Y
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_2,OneEnd,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_11,OneEnd,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_12,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_13,OneEnd,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_14,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_15,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_16,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_17,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_18,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_19,OneEnd,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_20,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_3,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_21,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_22,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_23,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_25,BothEnds,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_26,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_27,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_28,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_29,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_30,BothEnds,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_4,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_31,OneEnd,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_32,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_33,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_34,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_35,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_36,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_38,OneEnd,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_39,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_40,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_41,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_42,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_6,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_7,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_8,OneEnd,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_9,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov2_005.nd2_10,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_1,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_10,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_11,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_12,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_13,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_14,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_15,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_16,None,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_17,BothEnds,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_18,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_19,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_2,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_20,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_22,None,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_23,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_24,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_25,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_26,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_28,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_29,OneEnd,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_3,BothEnds,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_30,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_31,BothEnds,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_32,OneEnd,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_33,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_34,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_35,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_36,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_37,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_38,BothEnds,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_39,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_4,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_40,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_5,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_6,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_7,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_8,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_001.nd2_9,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_1,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_10,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_11,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_12,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_14,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_15,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_16,BothEnds,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_17,BothEnds,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_18,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_19,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_2,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_20,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_22,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_23,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_24,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_25,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_26,OneEnd,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_27,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_28,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_29,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_3,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_30,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_31,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_32,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_33,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_35,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_36,None,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_37,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_38,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_39,OneEnd,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_40,None,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_4,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_43,BothEnds,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_44,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_45,OneEnd,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_46,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_5,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_6,OneEnd,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_7,OneEnd,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_8,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_002.nd2_9,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_1,BothEnds,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_10,None,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_11,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_12,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_13,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_14,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_15,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_16,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_17,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_18,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_19,None,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_2,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_20,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_21,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_22,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_23,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_24,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_25,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_26,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_27,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_28,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_3,OneEnd,3,NA,Y
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_4,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_5,BothEnds,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_6,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_7,None,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_8,None,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_003.nd2_9,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_1,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_11,BothEnds,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_12,OneEnd,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_13,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_14,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_15,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_16,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_17,BothEnds,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_18,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_19,BothEnds,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_21,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_2,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_22,None,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_24,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_25,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_26,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_27,None,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_28,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_29,BothEnds,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_30,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_3,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_32,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_33,BothEnds,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_34,None,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_35,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_36,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_37,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_38,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_39,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_40,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_41,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_4,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_42,BothEnds,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_43,None,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_44,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_45,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_5,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_7,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_8,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_004.nd2_9,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_1,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_10,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_11,None,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_12,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_13,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_14,BothEnds,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_15,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_16,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_17,BothEnds,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_18,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_19,OneEnd,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_2,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_20,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_21,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_22,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_23,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_24,None,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_25,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_26,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_27,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_29,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_3,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_30,OneEnd,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_31,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_32,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_4,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_5,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_6,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_7,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_8,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov1_005.nd2_9,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov2_001.nd2_1,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov2_001.nd2_10,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov2_001.nd2_11,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov2_001.nd2_12,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov2_001.nd2_13,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov2_001.nd2_14,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov2_001.nd2_15,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov2_001.nd2_16,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov2_001.nd2_17,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov2_001.nd2_18,None,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov2_001.nd2_19,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov2_001.nd2_2,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov2_001.nd2_20,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov2_001.nd2_21,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov2_001.nd2_22,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov2_001.nd2_23,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov2_001.nd2_25,None,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov2_001.nd2_26,None,2,NA,
Cntr_ROCKi_Actin_Myosin_Cov2_001.nd2_27,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov2_001.nd2_28,None,1,NA,
Cntr_ROCKi_Actin_Myosin_Cov2_001.nd2_29,OneEnd,3,NA,
Cntr_ROCKi_Actin_Myosin_Cov2_001.nd2_3,None,1,NA,
